Name,Emission from Bioenergy (gCO2/h),Emission from Coal (gCO2/h),Emission from Gas (gCO2/h),Emission from Hydro (gCO2/h),Emission from Nuclear (gCO2/h),Emission from Oil (gCO2/h),Emission from Solar (gCO2/h),Emission from Wind (gCO2/h),Total (gCO2/h)
Adastra,3916.3482523195394,3174.661796113642,27603.89223317964,2288.079416467291,7219.344389333021,10442.40042014351,2001.1553760868271,1001.9667818171207,57647.848665460595
JUWELS Booster Module,36992.735616791135,387894.93678559404,130152.24707304027,1633.9629041779745,366.9706214465417,42212.1063412508,10327.182379999604,5517.962486776679,615098.104209077
MareNostrum 5 GPP,28744.23955514355,68203.05542168672,660865.853716404,10241.974776645035,14536.336014828541,137301.8357738647,46147.74841890639,15728.396609823903,981769.4402873028
Shaheen III - CPU,0.0,0.0,1628061.22982975,0.0,0.0,1143662.125263701,2598.9900062828447,209.03621663405482,2774531.3813163675
HPC5,32767.02357757636,97761.57232081646,497355.78079823294,7809.947121639119,0.0,79972.70576586179,12766.813929469106,2318.9425776906087,730752.7860912863
Crossroads,16143.350814417248,818885.1424699638,1305880.5141746977,8304.069381720608,13759.959384332962,29282.17319165457,16903.445043386157,7232.023879914331,2216390.678340087
Setonix – GPU,1339.952941176464,181307.00728291314,36346.22352941176,655.8278991596634,0.0,5649.025210084013,3904.173445378151,660.6047759103637,229862.81508403356
Discovery 5,2476.5138560383944,125623.26279991996,200332.08872571512,1273.9079464821532,2110.883326861297,4492.110001059054,2593.1181417022613,1109.4479424812603,340011.3327402595
TSUBAME4.0,8180.21125790568,193926.73961184395,117815.49769809868,1279.1674256790745,671.2205274738277,14843.300016773357,3791.5638886641455,75.83806740930031,340583.538493848
CEA-HF,21078.061018070046,17086.252482931508,148566.08435743308,12314.603923673913,38855.017926124754,56201.73157495457,10770.358611192143,5392.655505728346,310264.76540010836
ABCI 2.0,17882.353468638663,423933.61191108124,257550.60688498386,2796.324365028463,1467.3218513877496,32448.20080709606,8288.549466310145,165.78583181221688,744532.7545863384
