Name,Emission from Bioenergy (gCO2/h),Emission from Coal (gCO2/h),Emission from Gas (gCO2/h),Emission from Hydro (gCO2/h),Emission from Nuclear (gCO2/h),Emission from Oil (gCO2/h),Emission from Solar (gCO2/h),Emission from Wind (gCO2/h),Total (gCO2/h)
HoreKa-Green,4513.93486479526,47331.792305711286,15881.463103468768,199.37974302185057,44.77856138196076,5150.813946393548,1260.1454805364608,673.3139043760771,125092.7031828087
42,4438.574710275559,46541.58790784287,15616.322034905605,196.0510976841854,44.030983181124775,5064.821093920242,1239.107348402306,662.0729269597257,123004.28017195269
Plasma Simulator,10392.709999901315,246378.03382699724,149681.0121972156,1625.1433706623502,852.7652976290306,18857.961934267994,4817.066784540851,96.34996171720059,721168.4056215526
Leonardo-CPU,9762.759336583136,29127.537344809178,148184.49350750248,2326.9319533856346,0.0,23827.439744077976,3803.8038942798357,690.9165322187523,362873.13718809496
Underhill,2510.23551929437,32437.049014332944,54654.02820727672,10729.751878280043,1305.4301424476294,1916.0795589856573,439.30345137816664,536.0985049614105,174213.29379492824
Robert,2510.23551929437,32437.049014332944,54654.02820727672,10729.751878280043,1305.4301424476294,1916.0795589856573,439.30345137816664,536.0985049614105,174213.29379492824
Belenos,4220.312773530953,3421.060862461308,29746.34825231951,2465.667036237379,7779.668553422418,11252.879733909042,2156.4735951450048,1079.7337048491568,103536.90751979128
Isambard-AI phase 1,1863.4904221608908,796.8572748645583,11789.33248287846,30.04371174486344,118.59511070223854,1805.207727690892,155.21626985587213,226.97698701829694,27976.199978193457
Artemis,,,,,,,,,0.0
JOLIOT-CURIE ROME,3661.8544669428693,2968.3645912353104,25810.124525879648,2139.39447978059,6750.213923090389,9763.827974557937,1871.1154577814061,936.8565559899632,89836.25329209685
Gaia,5966.612412013795,6806.968114641441,9029.59836226478,4998.440741467792,84.08386101685394,3146.6255363302243,1198.8469446703482,531.6860315768806,52938.1033399702
"Karolina, GPU partition",2940.729278025725,61520.17406668416,2844.4685245471237,137.55735153583595,893.5349330532947,2130.9632449461747,358.58967708059765,20.280891572591162,118077.16327907586
,11845.760782899815,124211.16074407178,41677.166029437976,523.2252594544262,117.51080647397913,13517.100196121153,3306.955541274589,1766.9540394223336,328276.38899859344
Camphor 3,6883.1506317648455,163177.56573649988,99134.58122840426,1076.3416489625156,564.7912813095079,12489.734881747563,3190.3705849177595,63.81312476443249,477633.91519728466
HPCF-AD,10475.344656866479,31253.560819559734,159000.50270393785,2496.775078071445,0.0,25566.60827176478,4081.444131312359,741.3466372153248,389359.30383121327
HPCF-AC,10475.344656866479,31253.560819559734,159000.50270393785,2496.775078071445,0.0,25566.60827176478,4081.444131312359,741.3466372153248,389359.30383121327
HPCF-AB,10475.344656866479,31253.560819559734,159000.50270393785,2496.775078071445,0.0,25566.60827176478,4081.444131312359,741.3466372153248,389359.30383121327
HPCF-AA,10475.344656866479,31253.560819559734,159000.50270393785,2496.775078071445,0.0,25566.60827176478,4081.444131312359,741.3466372153248,389359.30383121327
MareNostrum,4892.551473586638,11608.828915662647,112485.84956441147,1743.2845523632982,2474.2269508804443,23370.11899907322,7854.799362372568,2677.127354958294,278511.3119555143
SPR-HBM,1636.9653828502744,83036.45545239522,132418.6793942175,842.0478666996139,1395.2851202033387,2969.2660712394495,1714.0403318388805,733.3404864616793,374576.80017650995
LUMI-C,23257.972943386765,11834.97495991982,2372.2931437875704,3312.6237414829648,3718.206396793587,12879.9897294589,285.0040280561101,1536.8750865480956,98663.23338238968
JUWELS Module 1,17122.732938449648,179543.93747895164,60243.23778204798,756.3082311456246,169.8587531448719,19538.609718893,4780.116499930664,2554.0851859188965,474514.8109808039
SQUID - CPU Nodes,8194.290795354744,194260.52057503132,118018.27824491126,1281.3690907835137,672.3758123748155,14868.847865339236,3798.089816183361,75.96859764580515,568616.2346627068
Pleiades,6792.943919228964,344577.8335016062,549500.113079394,3494.260780174387,5790.039100504815,12321.615419917378,7112.7831849472195,3043.155860486461,1554387.9080770991
Narval (GPU),603.246014175459,7795.093479918091,13134.155907386987,2578.5150452669714,313.7138026145849,460.46171680579386,105.57099284926684,128.83224854307747,41865.98201260038
Sawtooth,2207.2828891163776,111966.2939810075,178553.24754474525,1135.4167091467489,1881.4014050199444,4003.756133724003,2311.2106922723888,988.8357595227164,505079.0751909249
COBRA,20569.925315477718,215690.1820559044,72371.56045088057,908.5701380772198,204.05515164721942,23472.172586620167,5742.4617761841555,3068.2801461994095,570045.3460349848
,348.8139617010674,74769.00856929689,40985.37902014423,74.2303603225919,177.4177331864851,1488.1932141968878,486.62125100365904,39.60670845916066,197282.1180305183
Shaheen II,0.0,0.0,522232.65708404215,0.0,0.0,366852.11805289506,833.677156514497,67.05247741266683,1483309.1746181073
Grete,2586.9040020602615,27125.513904792093,9101.55367578597,114.26311424552779,25.66227540165214,2951.8948790586173,722.1804222746092,385.87141508350004,71689.73948117039
Electra,2598.381972535022,131805.12622388534,210190.33937402474,1336.59637507678,2214.7589319024237,4713.164683870506,2720.724301874535,1164.0433693437353,594571.8920541885
Snellius Phase 2 CPU,7447.085550552595,27194.126893164113,88654.65902578794,5.651543184608627,188.38477282030254,12174.36594351205,3984.337945149406,1307.52768726975,234926.8989357346
MAHTI,20473.39929859719,10418.026052104193,2088.2690380761483,2916.0180360721433,3273.0420841683367,11337.92585170339,250.88176352705221,1352.8718687374744,86850.72332164322
Pangea,10582.657407947707,8578.490984419595,74590.54093481932,6182.7904534049085,19507.930209488237,28217.190873548356,5407.471552780526,2707.489350528097,259624.2696115612
"DiRAC, Tursa",3882.8022590207497,1660.3461923745217,24564.465828477965,62.599619748543184,247.10691199018697,3761.3633854645805,323.4114198098736,472.93334457732783,58291.71493577293
TX-GAIA (Green AI Accelerator),2213.4484837787145,112279.04899212766,179051.99963285908,1138.5882642002316,1886.6567162071515,4014.9398100751882,2317.6665880608593,991.5978705828359,506489.9105964862
Dhabi Supercomputer,,,,,,,,,0.0
Athena,974.4090453333317,44020.83976533333,3766.2663111111106,29.765358933333324,0.0,1616.4590933333313,306.1579775999998,138.19109831111106,84753.48108325925
