Rank,Name,Site,Country,Computer,Year,Total Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Latitude,Longitude
26,Voyager-EUS2,Microsoft Azure,United States,"ND96amsr_A100_v4, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100 80GB​, Mellanox HDR Infiniband",2021,253440,30050.0,39531.15,41.9231062,-87.9182633
27,Crossroads,DOE/NNSA/LANL/SNL,United States,"HPE Cray EX, Xeon CPU Max 9480 56C 1.9GHz, Slingshot-11",2023,660800,30034.7,40176.64,40.42103,-74.52878
28,Setonix – GPU,"Pawsey Supercomputing Centre, Kensington, Western Australia",Australia,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",2022,181248,27160.0,34996.22,-31.9927517,115.8835581
29,Discovery 5,ExxonMobil,United States,"HPE Cray EX235n, AMD  EPYC 7543 32C 2.8GHz, NVIDIA A100 SXM4 40 GB, Slingshot-11",2022,232000,26130.0,30990.8,29.427884,-98.7988963
30,Polaris,DOE/SC/Argonne National Laboratory,United States,"Apollo 6500, AMD EPYC 7532 32C 2.4GHz, NVIDIA A100 SXM4 40 GB, Slingshot-10",2021,256592,25810.0,34163.19,34.088934,-88.505164
31,TSUBAME4.0,"GSIC Center, Tokyo Institute of Technology",Japan,"HPE Cray XD665, AMD EPYC 9654 96C 2.4GHz, NVIDIA H100 SXM5 94 GB, Infiniband NDR200",2024,172800,25460.0,59401.18,35.68536,139.75309
32,SSC-21,Samsung Electronics,South Korea,"Apollo 6500 Gen10 plus, AMD  EPYC 7543 32C 2.8GHz, NVIDIA A100 80GB​, Infiniband HDR200",2021,204160,25177.0,31751.1,36.7699807,127.0630792
33,Frontera,Texas Advanced Computing Center/Univ. of Texas,United States,"Dell C6420, Xeon Platinum 8280 28C 2.7GHz, Mellanox InfiniBand HDR",2019,448448,23516.4,38745.907,31.79426,-94.174438
34,Yep1,Ahrefs US DC,United States,"NVIDIA DGX H100, Xeon Platinum 8480C 56C 3.8GHz, NVIDIA H100 SXM5 80 GB, Infiniband NDR400",2023,73584,23320.0,34579.64,38.91706,-77.00025
35,BioHive-2,Recursion,United States,"NVIDIA DGX H100, Xeon Platinum 8480C 56C 2GHz, NVIDIA H100, Infiniband NDR400",2024,40320,23320.0,34219.58,40.7536919,-111.8317466
36,CEA-HF,Commissariat a l'Energie Atomique (CEA),France,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, Atos BXI V2",2021,810240,23237.6,31761.4,45.1996822,5.7031246
37,Dammam-7,Saudi Aramco,Saudi Arabia,"Cray CS-Storm, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100 SXM2, InfiniBand HDR 100",2020,672520,22400.0,55423.56,23.9494015,38.2920459
38,TAIPEI-1,NVIDIA Corporation,Taiwan,"NVIDIA DGX H100, Xeon Platinum 8480C 56C 2GHz, NVIDIA H100, NVIDIA Infiniband NDR",2024,40960,22300.0,34533.38,24.0,121.0
39,ABCI 2.0,National Institute of Advanced Industrial Science and Technology (AIST),Japan,"PRIMERGY GX2570 M6, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR",2021,504000,22208.72,54340.99,35.68536,139.75309
40,Wisteria/BDEC-01 (Odyssey),"Information Technology Center, The University of Tokyo",Japan,"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D",2021,368640,22121.0,25952.26,35.71339,139.76232
41,DeepL Mercury,DeepL SE Super POD Cluster Mercury,Sweden,"NVIDIA DGX H100, Xeon Platinum 8480C 56C 2GHz, NVIDIA H100, NVIDIA Infiniband NDR",2023,40960,21850.0,33849.34,62.0,15.0
42,Chervonenkis,Yandex,Russia,"YANDEX Y4N-GA1-TY25-ZB0, AMD EPYC 7702 64C 2GHz, NVIDIA A100 80GB​, Infiniband",2021,193440,21530.0,29415.17,55.7339688,37.5884817
43,Piz Daint,Swiss National Supercomputing Centre (CSCS),Switzerland,"Cray XC50, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect , NVIDIA Tesla P100",2017,387872,21230.0,27154.3,46.0244656,8.9600452
44,kakaocloud,Kakao Enterprise,South Korea,"Supermicro AS-4124GO-NART, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 80GB, InfiniBand HDR200",2024,160704,21210.0,23656.15,36.5,127.75
45,Trinity,DOE/NNSA/LANL/SNL,United States,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect",2017,979072,20158.7,41461.15,40.42103,-74.52878
46,El Capitan Early Delivery,DOE/NNSA/LLNL,United States,"HPE Cray EX255a, AMD 4th Gen EPYC 24C 1.8GHz, AMD Instinct MI300A, Slingshot-11",2024,129024,19650.0,32097.8944,40.42103,-74.52878
47,rzAdams,DOE/NNSA/LLNL,United States,"HPE Cray EX255a, AMD 4th Gen EPYC 24C 1.8GHz, AMD Instinct MI300A, Slingshot-11",2024,129024,19650.0,32097.8944,40.42103,-74.52878
48,LLNL-Tuolumne,Hewlett Packard Enterprise,United States,"HPE Cray EX255a, AMD 4th Gen EPYC 24C 1.8GHz, AMD Instinct MI300A, Slingshot-11",2024,129024,19650.0,32097.8944,37.4192611,-121.9787718
49,ARCHER2,EPSRC/University of Edinburgh,United Kingdom,"Cray XE, AMD EPYC 7742 64C 2.25GHz, Slingshot-10",2021,716800,19539.0,25804.0,55.9483399,-3.1932723
50,SuperMUC-NG,Leibniz Rechenzentrum,Germany,"ThinkSystem SD650, Xeon Platinum 8174 24C 3.1GHz, Intel Omni-Path",2018,305856,19476.6,26873.856,48.2618918,11.666948
51,Dawn,University of Cambridge,United Kingdom,"Dell PowerEdge XE9640, Xeon Platinum 8468 48C 2.1GHz, Intel Data Center GPU Max 1550, Infiniband HDR200",2023,156864,19458.3,53852.24,52.2109456,0.092005
52,Hawk,HLRS - Höchstleistungsrechenzentrum Stuttgart,Germany,"Apollo 9000, AMD EPYC 7742 64C 2.25GHz, Mellanox HDR Infiniband",2020,698880,19334.0,25159.68,48.739457,9.0970622
53,Ghawar-1,Saudi Aramco,Saudi Arabia,"HPE Cray EX, AMD EPYC 7702 64C 2GHz, Slingshot-10",2021,714240,19256.0,22855.68,23.9494015,38.2920459
54,Frontier TDS,DOE/SC/Oak Ridge National Laboratory,United States,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",2021,120832,19200.0,23105.54,34.088934,-88.505164
55,Helios GPU,Cyfronet,Poland,"HPE Cray EX254n, NVIDIA Grace 72C 3.1GHz, NVIDIA GH200 Superchip, Slingshot-11",2023,89760,19140.0,30443.56,52.1238555,21.3362914
56,Pégaso,Petróleo Brasileiro S.A,Brazil,"Supermicro A+ Server 4124GO-NART+, AMD EPYC 7513 32C 2.6GHz, NVIDIA A100, Infiniband HDR",2022,233856,19070.0,41995.7,-10.0,-55.0
57,Lassen,DOE/NNSA/LLNL,United States,"IBM Power System AC922, IBM POWER9 22C 3.1GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Tesla V100",2018,288288,18200.0,23047.2,40.42103,-74.52878
58,Guru,Korea Meteorological Administration,South Korea,"ThinkSystem SD650 V2, Xeon Platinum 8368Q 38C 2.6GHz, Infiniband HDR",2021,306432,18002.8,25495.14,37.493831,126.9170463
59,Maru,Korea Meteorological Administration,South Korea,"ThinkSystem SD650 V2, Xeon Platinum 8368Q 38C 2.6GHz, Infiniband HDR",2021,306432,18002.8,25495.14,37.493831,126.9170463
60,PANGEA III,Total Exploration Production,France,"IBM Power System AC922, IBM POWER9 18C 3.45GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Volta GV100",2019,291024,17860.0,25025.81,46.0,2.0
61,AOBA-S,"Cyberscience Center, Tohoku University",Japan,"SX-Aurora TSUBASA C401-8, Vector Engine Type 30A 16C 1.6GHz, Infiniband NDR200",2023,64512,17221.0,19818.09,35.68536,139.75309
62,HiPerGator AI,University of Florida,United States,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR",2021,138880,17200.0,21314.72,29.6328837,-82.349013
63,SuperMUC-NG Phase 2,Leibniz Rechenzentrum,Germany,"ThinkSystem SD650-I V3, Xeon Platinum 8480L 56C 2GHz, Intel Data Center GPU Max, Infiniband HDR",2023,149760,17190.5,27957.42,48.2618918,11.666948
64,TOKI-SORA,Japan Aerospace eXploration Agency,Japan,"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D",2020,276480,16592.0,19464.2,35.6792492,139.5583275
65,Pioneer-WUS2,Microsoft Azure,United States,"NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR",2021,157440,16590.0,24557.23,41.9231062,-87.9182633
66,Pioneer-WEU,Microsoft Azure,Netherlands,"NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR",2021,157440,16590.0,24557.23,52.25,5.75
67,Pioneer-EUS,Microsoft Azure,United States,"NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR",2020,157440,16590.0,24557.23,41.9231062,-87.9182633
68,Pioneer-SCUS,Microsoft Azure,United States,"NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR",2021,157440,16590.0,24557.23,41.9231062,-87.9182633
69,Galushkin,Yandex,Russia,"YANDEX Y4N-GA1-TY25-ZB0, AMD EPYC 7702 64C 2GHz, NVIDIA A100 80GB​, Infiniband",2021,134912,16020.0,20636.1,55.7339688,37.5884817
70,kakaocloud,Kakao Enterprise,South Korea,"SP7-2608WG Cluster, Xeon Platinum 8358 32C 2.6GHz, NVIDIA A100 80GB, Infiniband HDR200",2024,115072,15940.0,17815.13,36.5,127.75
71,preAlps,Swiss National Supercomputing Centre (CSCS),Switzerland,"HPE Cray EX254n, NVIDIA Grace 72C 3.1GHz, NVIDIA GH200 Superchip, Slingshot-11",2024,81600,15470.0,22109.28,46.0244656,8.9600452
72,Virga,Commonwealth Scientific and Industrial Research Organisation (CSIRO),Australia,"PowerEdge XE9640, Xeon Platinum 8452Y 36C 2GHz, Nvidia H100 94Gb SXM5, Infiniband NDR",2024,60000,14940.0,18460.8,-31.9500909,115.7895708
73,Titan,SK Telecom,South Korea,"Apollo 6500, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 80 GB, Mellanox HDR Infiniband",2023,128960,14240.0,16394.77,35.1489394,126.9141026
74,Cori,DOE/SC/LBNL/NERSC,United States,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ",2016,622336,14014.7,27880.653,34.088934,-88.505164
75,Nurion,Korea Institute of Science and Technology Information,South Korea,"Cray CS500, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path",2018,570020,13929.3,25705.9,36.3651843,127.3593597
76,Proxima,PCSS Poznan,Poland,"HPE Cray XD220v/HPE Cray XD665, EPYC 9334 32C 3Ghz/Xeon Platinum 8480+ 56C 2GHz, Infiniband NDR200",2024,58224,13816.66,23316.0,52.4085143,16.9084535
77,,Japan Meteorological Agency,Japan,"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D",2022,221184,13367.0,15571.35,35.6898046,139.7613158
78,,Japan Meteorological Agency,Japan,"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D",2022,221184,13367.0,15571.35,35.6898046,139.7613158
79,Lyapunov,Yandex,Russia,"Inspur NF5488A5, AMD EPYC 7662 64C 2GHz, NVIDIA A100 40GB, Infiniband",2020,130944,12810.0,20029.19,55.7339688,37.5884817
80,Lem,Wroclaw Centre for Networking and Supercomputing,Poland,"PowerEdge XE9640, Intel Xeon Platinum 8462Y+ 32C 2.8GHz, Nvidia H100 94Gb SXM5, Infiniband NDR200",2023,44992,12800.0,20368.0,52.0,20.0
81,HPC4,Eni S.p.A.,Italy,"Proliant DL380 Gen10, Xeon Platinum 8160  24C 2.1GHz, Mellanox InfiniBand EDR, NVIDIA Tesla P100",2018,253600,12210.0,18621.138,40.8482029,14.299961
82,Tera-1000-2,Commissariat a l'Energie Atomique (CEA),France,"Bull Sequana X1000, Intel Xeon Phi 7250 68C 1.4GHz, Bull BXI 1.2",2017,561408,11965.5,23396.352,45.1996822,5.7031246
83,Christofari Neo,SberCloud,Russia,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 80GB​, Infiniband",2021,98208,11950.0,14908.61,60.0,100.0
84,Carpenter,ERDC DSRC,United States,"HPE Cray EX, AMD EPYC 9654 96C 2.4GHz, Slingshot-11",2023,276480,11616.8,12474.78,37.28255,-90.63734
85,Kestrel CPU,National Renewable Energy Laboratory,United States,"HPE Cray EX, Xeon Platinum 8470Q 52C 2.1GHz, Slingshot-11",2023,212992,11372.2,14313.06,39.7411693,-105.1835007
86,,Central Weather Administration,Taiwan,"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D",2023,184320,11164.0,12976.13,25.0375839,121.5143604
87,Stampede2,Texas Advanced Computing Center/Univ. of Texas,United States,"PowerEdge C6320P/C6420, Intel Xeon Phi 7250 68C 1.4GHz/Platinum 8160, Intel Omni-Path",2017,367024,10680.7,18309.222,31.79426,-94.174438
88,Opera Iceland KEF-1 SuperPOD,Opera KEF-1,Iceland,"NVIDIA DGX H100, Xeon Platinum 8480C 56C 3.8GHz, NVIDIA H100 80GB, Infiniband NDR400",2024,36208,10530.0,17015.38,63.985,-22.60556
89,MeluXina - Accelerator Module,LuxProvide,Luxembourg,"BullSequana XH2000, AMD EPYC 7452 32C 2.35GHz, NVIDIA A100 40GB, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite",2021,99200,10520.0,15288.0,49.7870718,6.0897434
90,KT DGX SuperPOD,Korea Telecom,South Korea,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR",2022,98208,10380.0,14416.0,36.9950033,129.4025391
91,Derecho CPU partition,National Center for Atmospheric Research (NCAR),United States,"HPE Cray EX, AMD EPYC 7763 64C 2.45GHz, Slingshot-11",2023,316416,10324.0,12403.51,39.97789,-105.2748664
92,Levante,DKRZ - Deutsches Klimarechenzentrum,Germany,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, InfiniBand HDR100",2022,352000,10111.0,13798.4,51.5,10.5
93,Cactus,GDIT/NOAA/WCOSS,United States,"HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10",2021,327680,10013.0,11796.48,35.574756,-86.192262
94,Dogwood,GDIT/NOAA/WCOSS,United States,"HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10",2020,327680,10013.0,11796.48,35.574756,-86.192262
95,Earth Simulator -SX-Aurora TSUBASA,Japan Agency for Marine-Earth Science and Technology,Japan,"SX-Aurora TSUBASA B401-8, Vector Engine Type20B 8C 1.6GHz, Infiniband HDR200",2021,43776,9990.7,13447.99,35.68536,139.75309
96,Amazon EC2 Instance Cluster us-east-1a,Descartes Labs,United States,"Amazon EC2 r5.24xlarge, Xeon Platinum 8260 24C 2.4GHz, 25G Ethernet",2019,172692,9950.26,15106.52,35.8816854,-106.2980683
97,NVIDIA Cambridge-1 DGX SuperPOD,NVIDIA Corporation,United States,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 80GB​, Infiniband HDR",2021,79360,9682.0,12047.0,30.4801362,-97.7931805
98,SNL/NNSA CTS-2 Amber,Sandia National Laboratories,United States,"PowerEdge C6220, Xeon Platinum 8480+ 56C 2GHz, Cornelis Networks Omni-Path",2022,169344,9508.36,10838.02,37.6736516,-121.7072096
99,,Research Institute,Japan,"Apollo 6500, AMD  EPYC 7543 32C 2.8GHz, NVIDIA A100 SXM4 80 GB, Mellanox HDR Infiniband",2022,72384,9459.0,9669.3,36.0564466,140.1247547
100,DGX SuperPOD,NVIDIA Corporation,United States,"NVIDIA DGX-2H, Xeon Platinum 8174 24C 3.1GHz, NVIDIA Tesla V100, Mellanox InfiniBand EDR",2020,127488,9444.0,11209.114,30.4801362,-97.7931805
101,,Deutscher Wetterdienst,Germany,"SX-Aurora TSUBASA C401-8, Vector Engine Type 30A 16C 1.6GHz, Infiniband NDR200",2023,36864,9357.4,11199.2,47.6958548,9.131056
102,JURECA Data Centric Module,Forschungszentrum Juelich (FZJ),Germany,"BullSequana XH2000, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 40GB, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite",2021,105840,9330.0,14508.0,50.9054008,6.4118689
103,Gadi,National Computational Infrastructure (NCI Australia),Australia,"PRIMERGY CX2570 M5, ThinkSystem SD650, Xeon Platinum 8274/8268, NVIDIA Tesla V100 SXM2, Mellanox HDR Infiniband",2020,204032,9264.31,15142.1952,-25.0,135.0
104,Goethe-NHR,Universitaet Frankfurt,Germany,"Supermicro AS-4124GS-TNR, AMD EPYC 7452 32C 2.35GHz, AMD Instinct MI210 64 GB, Mellanox InfiniBand EDR",2023,96768,9087.0,19344.19,50.0952039,8.6611054
105,Aitken,NASA/Ames Research Center/NAS,United States,"HPE Apollo 9000/HPE SGI 8600, AMD EPYC 7742 64C 2.25GHz/Intel Xeon Gold 6248 20C 2.5GHz, Mellanox EDR/HDR Infiniband",2022,293936,9070.0,12493.06,34.775068,-96.666756
106,Taiwania 2,National Center for High Performance Computing,Taiwan,"QCT QuantaGrid D52G-4U/LC, Xeon Gold 6154 18C 3GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2",2018,170352,9000.0,15208.23,24.7826067,120.9956004
107,SNL CTS-2 Stout,Sandia National Laboratories,United States,"PowerEdge C6220, Xeon Platinum 8480+ 56C 2GHz, Dual-rail Intel Omni-Path",2023,157248,8987.13,10063.87,37.6736516,-121.7072096
108,Dragão,Petróleo Brasileiro S.A,Brazil,"Supermicro SYS-4029GP-TVRT, Xeon Gold 6230R 26C 2.1GHz, NVIDIA Tesla V100, Infiniband EDR",2021,188224,8983.0,14006.48,-10.0,-55.0
109,Raven-GPU,Max-Planck-Gesellschaft MPI/IPP,Germany,"ThinkSystem SD650-N V2, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100, Mellanox HDR Infiniband",2021,96768,8620.0,16031.54,51.5,10.5
110,AIRAWAT - PSAI,Center for Development of Advanced Computing (C-DAC),India,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR",2023,81344,8500.0,13169.86,22.0,79.0
111,Tuwaiq-1,Saudi Aramco,Saudi Arabia,"PowerEdge XE8640, Intel Xeon Platinum 8462Y+ 32C 2.8GHz, NVIDIA HGX H100, Infiniband HDR",2024,61568,8487.0,14173.44,23.9494015,38.2920459
112,C24,Skoda Auto a.s.,Czechia,"HPE Cray EX, AMD EPYC 9654 96C 2.4GHz, Slingshot-11",2023,196608,8401.78,8870.95,50.6117013,15.6235063
113,AiMOS,Rensselaer Polytechnic Institute Center for Computational Innovations (CCI),United States,"IBM Power System AC922, IBM POWER9 20C 3.45GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",2019,130000,8339.0,11032.032,44.594989,-75.333066
114,Dardel GPU,KTH - Royal Institute of Technology,Sweden,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",2022,52864,8259.0,10207.23,59.2016758,17.6203201
115,Taranis,Meteo France,France,"Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox InfiniBand HDR100",2020,294912,8191.03,10321.92,48.8455927,2.4249063
116,LANTA,NSTDA Supercomputer Center (ThaiSC),Thailand,"HPE Cray EX235n, AMD EPYC 7713 64C 2GHz, NVIDIA A100 40GB, Slingshot-11",2022,87296,8146.0,13773.06,15.5,101.0
117,Roxy,Government,United States,"Apollo 2000, Xeon Gold 6248 20C 2.5GHz, Infiniband EDR",2020,174720,8124.48,13977.6,38.9531545,-92.3313718
118,HoreKa-Green,Karlsruher Institut für Technologie (KIT) ,Germany,"ThinkSystem SD650 V2, Xeon Platinum 8368 38C 2.4GHz, NVIDIA A100 40GB, Mellanox HDR Infiniband",2021,90932,8025.6,15006.79,49.1018534,8.4331202
119,Narwhal,Navy DSRC,United States,"HPE Cray EX, AMD EPYC 7H12 64C 2.6GHz, Slingshot-10",2020,276480,8023.6,11501.57,36.473051,-81.812586
120,42,Hessian.AI,Germany,"Apollo 6500, AMD EPYC 7313 16C 3GHz, NVIDIA A100 SXM4 80 GB, Infiniband HDR",2023,64512,7938.0,8829.5,51.5,10.5
121,Plasma Simulator,National Institute for Fusion Science (NIFS),Japan,"SX-Aurora TSUBASA A412-8, Vector Engine Type10AE 8C 1.58GHz, Infiniband HDR 200",2020,34560,7892.7,10510.66,35.68536,139.75309
122,Leonardo-CPU,EuroHPC/CINECA,Italy,"EVIDEN BullSequana XH2000, Xeon Platinum 8480L 56C 2GHz, InfiniBand HDR 100",2023,172032,7841.57,9433.09,42.83333,12.83333
123,Underhill,Shared Services Canada,Canada,"ThinkSystem SD650 V2, Xeon Platinum 8380 40C 2.3GHz, Infiniband HDR",2022,148320,7764.57,10916.35,45.417208,-75.7079985
124,Robert,Shared Services Canada,Canada,"ThinkSystem SD650-N V2, Xeon Platinum 8380 40C 2.3GHz, Infiniband HDR",2022,148320,7764.57,10916.35,45.417208,-75.7079985
125,Belenos,Meteo France,France,"Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox HDR100",2020,294912,7683.36,10469.376,48.8455927,2.4249063
126,alpha ONE,Aleph Alpha,Germany,"Apollo 6500, AMD EPYC 7F52 16C 3.5GHz, NVIDIA A100 SXM4 80 GB, Mellanox HDR Infiniband",2022,57344,7625.0,7864.83,51.5,10.5
