Rank,Name,Country,Rmax [TFlop/s],Power (kW)
286,CLAIX-2023 (CPU segment),Germany,3133.42,676.45
298,Thunder,United States,3126.24,4819.5
299,HoreKa-Teal,Germany,3123.0,49.6
300,Komondor,Hungary,3105.0,110.24
304,Alps,Switzerland,3088.6,637.95
305,Helios CPU,Poland,3086.4,453.8
306,Numerical Materials Simulator,Japan,3082.12,691.2
308,Camphor 2,Japan,3057.35,748.1
310,Barnard,Germany,3047.36,535.7
312,Mistral,Germany,3010.68,1116.0
328,Henri,United States,2882.0,44.07
337,"Karolina, CPU partition",Czechia,2837.4,502.7
340,SuperMUC Phase 2,Germany,2813.62,1480.83
342,,United Kingdom,2801.782,1347.84
343,,United Kingdom,2801.782,1347.84
344,JFRS-1,Japan,2787.14,697.51
354,SNL/NNSA CTS-1 Attaway,United States,2724.52,750.0
368,LLNL/NNSA CTS-1 Jade,United States,2632.51,13620.0
369,LLNL CTS-1 Quartz,United States,2632.51,13620.0
378,Cedar (CPU),Canada,2607.98,792.0
380,AlphaCentauri,Germany,2592.0,163.65
383,Conesus,United States,2589.48,409.25
388,Mihir,India,2570.4,954.73
389,Spartan2,France,2566.0,105.76
390,,Japan,2547.81,438.03
391,,Japan,2547.81,438.03
392,PAI-BSystem,China,2547.0,710.0
393,cascade,United States,2539.13,1384.0
398,occigen2,France,2494.65,1430.0
401,Excalibur,United States,2485.0,1465.78
402,CLAIX (2018),Germany,2483.58,692.05
409,Centennial,United States,2443.7,835.0
410,Greene-H100,United States,2436.0,51.69
411,PAI-ASystem,China,2435.0,740.0
419,Cannon2-A100,United States,2384.0,87.32
431,NVIDIA DGX SuperPOD,United States,2356.0,89.94
442,Ares,Poland,2338.79,486.85
446,HoreKa-Blue,Germany,2333.51,494.51
450,Makman-3,Saudi Arabia,2322.46,608.0
451,Champollion,France,2321.0,60.2
455,VSC-5,Austria,2312.3,516.0
456,Taiwania 3,Taiwan,2297.56,563.85
458,Wilkes-3,United Kingdom,2287.0,74.26
460,MeluXina - Cluster Module,Luxembourg,2286.56,377.21
465,Béluga,Canada,2278.0,240.0
468,SSC-21 Scalable Module,South Korea,2274.1,103.01
470,Cumulus,United Kingdom,2271.38,530.0
