,Year,Electricity from bioenergy,Bioenergy Percent,Electricity from solar,Solar Percent,Electricity from wind,Wind Percent, Electricity from hydro,Hydro Percent, Electricity from nuclear,Nuclear Percent,Electricity from coal,Coal Percent,Electricity from oil,Oil Percent,Electricity from gas,Gas Percent,Total_Energy
0,2018,488.65,2.2421360056345914,536.09,2.459811094363344,1186.14,5.442519598328895,3298.01,15.132685905950963,2504.87,11.493419045193734,8996.9,41.28164008818961,482.22,2.2126324048646526,4261.15,19.551985757515272,21793.95
1,2019,518.9399999999999,2.3470933835069356,641.18,2.8999678876883204,1321.89,5.978724462797209,3381.95,15.296089082266317,2602.5699999999997,11.771061832029995,8743.609999999999,39.546130918728714,449.83,2.0345184736249373,4409.49,19.943509468609086,22109.899999999998
2,2020,551.4499999999999,2.501601351486217,762.44,3.4587377539707163,1482.65,6.7259030624372835,3481.58,15.793862060580986,2503.69,11.357755531240416,8393.17,38.07483074667436,426.79,1.93609292012114,4400.42,19.962093787482058,22043.88
3,2021,594.59,2.547261797456294,931.23,3.9894492064199274,1730.54,7.413744649203678,3360.4,14.396169703782657,2587.29,11.084116745893295,9136.68,39.14212469026215,466.82,1.999886900702244,4492.57,19.246458792442226,23342.32
4,2022,606.39,2.53381681673149,1184.86,4.950969167487051,1969.38,8.229106948555652,3373.75,14.097304515984538,2473.39,10.335126199863948,9278.58,38.7707944382138,462.38,1.9320671840239882,4540.88,18.9741884047555,23931.879999999997
5,2023,609.09,2.484519389839999,1476.4892434,6.022699689893924,2164.61,8.82959089205464,3283.8,13.394842752888062,2520.36,10.280719252289712,9420.89,38.42844879172167,459.48153,1.8742563012992324,4544.0846,18.535629049521972,24515.405373399997
