Year,Total_Renewable_Energy,Total_Non-renewable_Energy,Total_Energy,Percentage
2018,8053.68,13740.27,21793.949999999997,36.95374174943047
2019,8506.97,13602.93,22109.9,38.47584113903726
2020,8823.5,13220.380000000001,22043.88,40.02698254572244
2021,9246.25,14096.07,23342.32,39.61152961659338
2022,9650.04,14281.84,23931.879999999997,40.32294997300673
2023,10090.9492434,14424.45613,24515.4053734,41.16166585745714
